domain,template,site_type,scrape_domain
sdm.rutgers.edu,stinson,stinson,sdm.rutgers.edu
oceanswestfield,stinson,stinson,www.oceanswestfield.com
alyssaortho,stinson,stinson,alyssaortho.com
arlington-orthodontics,stinson,stinson,arlington-orthodontics.com
caplesrobinsonortho,stinson,stinson,caplesrobinsonortho.com
chadwellsmiles,stinson,stinson,chadwellsmiles.com
comettiorthodontics,stinson,stinson,comettiorthodontics.com
conlonthompsonorthodontics,stinson,stinson,www.conlonthompsonorthodontics.com
coppercreekortho,stinson,stinson,coppercreekortho.com
currentorthodontics,stinson,stinson,currentorthodontics.com
derekdamonortho,stinson,stinson,www.derekdamonortho.com
dischingerteam,stinson,stinson,dischingerteam.com
downersgrovedental,stinson,stinson,downersgrovedental.com
dvbraces,stinson,stinson,www.dvbraces.com
falsafiortho,stinson,stinson,www.falsafiortho.com
frazierorthodontics,stinson,stinson,www.frazierorthodontics.com
